"ID","MESSAGE__C"
"a1M1N000005drepUAA","a1U1N00000JEyCKUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 1c98979e-6648-4d11-b72e-03130dd6a364 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentFinancialAidNeedSummariesParser.inboundParser: line 553, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drezUAA","a1U1N00000JEyCQUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 1c98979e-6648-4d11-b72e-03130dd6a364 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.AwardDetailEntryParser.inboundParser: line 229, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drg7UAA","a1U1N00000JEyCwUAL-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 1c98979e-6648-4d11-b72e-03130dd6a364 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.FinancialAidDetailsParser.processContent: line 1029, column 1
Class.APEX2OBJECT_Parser.FinancialAidDetailsParser.inboundParser: line 980, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005dri3UAA","a1U1N00000JEyDSUA1-Attempt to de-reference a null object 
 Class.APEX2OBJECT_Parser.InstructionalEventsParser.inboundParser: line 1752, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005dricUAA","a1U1N00000JEyDoUAL-Upsert failed. First exception on row 0; first error: FIELD_CUSTOM_VALIDATION_EXCEPTION, The email selected for Preferred Email can't be blank.: [] 
 Class.SNHU_PersonInboundHandlers.PersonInbound.inboundParser: line 266, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drjzUAA","a1U1N00000JEyG1UAL-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 2275b015-da7e-448f-a386-9eb852f1388d not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drkxUAA","Read timed out 
 Class.Callout.httpCallout: line 89, column 1
Class.CalloutHandlerWrapper.ExternalEducationCalloutHandler.createRequest: line 973, column 1
Class.SNHU_PersonQueueable.execute: line 16, column 1"
"a1M1N000005drm0UAA","{""errors"":[{""code"":""admissionApplication"",""description"":""Unknown error code."",""message"":""PERSON record locked for ID 1652131""},{""code"":""admissionApplication"",""description"":""Unknown error code."",""message"":""APPLICANTS record locked for ID 1652131""}]}"
"a1M1N000005drmAUAQ","{""errors"":[{""code"":""Global.Internal.Error"",""description"":""Unspecified Error on the system which prevented execution."",""message"":""System.InvalidOperationException: System.ArgumentException: id\r\nParameter name: Record associated with home institution can not be returned.\r\n   at Ellucian.Colleague.Data.Student.Repositories.ExternalEducationRepository.<GetExternalEducationByIdAsync>d__6.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Data.Student\\Repositories\\ExternalEducationRepository.cs:line 142\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter`1.GetResult()\r\n   at Ellucian.Colleague.Data.Student.Repositories.ExternalEducationRepository.<GetExternalEducationByGuidAsync>d__4.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Data.Student\\Repositories\\ExternalEducationRepository.cs:line 84\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter`1.GetResult()\r\n   at Ellucian.Colleague.Data.Student.Repositories.ExternalEducationN19Repository.<CreateAsync>d__2.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Data.Student\\Repositories\\ExternalEducationN19Repository.cs:line 43\r\n   at Ellucian.Colleague.Data.Student.Repositories.ExternalEducationN19Repository.<CreateAsync>d__2.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Data.Student\\Repositories\\ExternalEducationN19Repository.cs:line 54\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter`1.GetResult()\r\n   at Ellucian.Colleague.Coordination.Student.Services.ExternalEducationN19Service.<PostExternalEducationAsync>d__12.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Coordination.Student\\Services\\ExternalEducationN19Service.cs:line 64""}]}"
"a1M1N000005drmKUAQ","Read timed out 
 Class.Callout.httpCallout: line 89, column 1
Class.CalloutHandlerWrapper.ExternalEducationCalloutHandler.createRequest: line 973, column 1
Class.SNHU_PersonQueueable.execute: line 16, column 1"
"a1M1N000005drn8UAA","a1U1N00000JEyKBUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: d4b5a320-635d-4318-8a7f-9429c817ab5b not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drnSUAQ","a1U1N00000JEyMAUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 165f4221-5ded-4090-94bb-bae517f389ca not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drncUAA","a1U1N00000JEyMaUAL-Attempt to de-reference a null object 
 Class.APEX2OBJECT_Parser.InstructionalEventsParser.inboundParser: line 1752, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drp4UAA","a1U1N00000JEyPaUAL-Upsert failed. First exception on row 0; first error: STRING_TOO_LONG, Notes: data value too large: February 20 2019  11:44 AM  MAXWELL, RACHEL PARTIAL EVAL EVALUATED: CAPELLA, FL STATE NOT EVALUATEDl EVEREST/FLORIDA METRO
<br>
<br>December 4 2018  8:32 AM  RICHFORD, ASHLEY AEP. TRANSCRIPT NOT EVALUATED: CAPELLA UNIV, EVEREST/FLORIDA METRO UNIV, FLORIDA STATE COL  TRANSCRIPT EVALUATED: UNIV OF PHOENIX (max length=255): [Notes__c] 
 Class.SNHU_PersonRestriction_Parser.inboundParser: line 109, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drp9UAA","{""errors"":[{""code"":""admissionApplication"",""description"":""Unknown error code."",""message"":""appliedOn date '12/07/18' does not match APPL.DATE '12/06/18'""}]}"
"a1M1N000005drpEUAQ","a1U1N00000JEyQSUA1-Upsert failed. First exception on row 0; first error: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY, hed.TDTM_ProgramEnrollment: execution of AfterUpdate

caused by: System.DmlException: Update failed. First exception on row 0 with id 8001N000000qDZOQA2; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Contract Process” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: ALL_OR_NONE_OPERATION_ROLLED_BACK: . You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1849875746-274093 (576765268): []

Class.SNHU_ProgramEnrollmentTriggerService.UpdateContractFieldsbasedonprogramenrollment: line 287, column 1
Class.SNHU_ProgramEnrollmentTriggerHandler.run: line 48, column 1
Class.hed.TDTM_TriggerHandler.runClass: line 145, column 1
Class.hed.TDTM_TriggerHandler.run: line 75, column 1
Class.hed.TDTM_Global_API.run: line 61, column 1
Trigger.hed.TDTM_ProgramEnrollment: line 33, column 1: [] 
 Class.APEX2OBJECT_Parser.StudentAcademicProgramParser.inboundParser: line 2202, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drpdUAA","{""errors"":[{""code"":""admissionApplication"",""description"":""Unknown error code."",""message"":""The school 'SPCE' is not valid for the academic program 'BS.BAD'""}]}"
"a1M1N000005drswUAA","a1U1N00000JEyW7UAL-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: fab7ee72-411c-4dc6-b438-dc1582c8de34 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.ARAccountholderParser.inboundParser: line 1553, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drt1UAA","a1U1N00000JEyWFUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: df8d1033-41f8-4ccb-ba4d-c848e6fa01ac not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
